STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_is,Information society indicator,unit,Unit of measure,TIME_PERIOD,Time,geo,Geopolitical entity (reporting),ind_type,Individual type,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,ES,Spain,M_DIS_SEV,Males with disability (activity limitation) - severely limited,83.83,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,ES,Spain,Y16_24_DIS_LTD,"Individuals aged 16 to 24 with disability (activity limitation) - limited, but not severely",98.01,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,ES,Spain,Y16_24_DIS_LTD_SEV,Individuals aged 16 to 24 with disability (activity limitation) - limited or severely limited,98.04,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,ES,Spain,Y16_24_DIS_NONE,Individuals aged 16 to 24 with disability (activity limitation) - not limited at all,99.96,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,ES,Spain,Y16_24_DIS_SEV,Individuals aged 16 to 24 with disability (activity limitation) - severely limited,,,u,low reliability,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,ES,Spain,Y25_54_DIS_LTD,"Individuals aged 25 to 54 with disability (activity limitation) - limited, but not severely",97.01,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,ES,Spain,Y25_54_DIS_LTD_SEV,Individuals aged 25 to 54 with disability (activity limitation) - limited or severely limited,95.13,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,ES,Spain,Y25_54_DIS_NONE,Individuals aged 25 to 54 with disability (activity limitation) - not limited at all,99.26,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,ES,Spain,Y25_54_DIS_SEV,Individuals aged 25 to 54 with disability (activity limitation) - severely limited,82.31,,,,,
dataflow,ESTAT:DSB_ICTIU01(1.0),Persons using the internet in the past 12 months by level of disability (activity limitation),A,Annual,I_ILT12,Last internet use: in the last 12 months,PC_IND,Percentage of individuals,2024,,ES,Spain,Y55_74_DIS_LTD,"Individuals aged 55 to 74 with disability (activity limitation) - limited, but not severely",88.71,,,,,
